new_urls,count
https://www.jabong.com/men-mochi,133
https://www.jabong.com/giniandjony-shop-online,378
https://www.jabong.com/women-color-white,98
https://www.jabong.com/men-sports-jerseys,61
https://www.jabong.com/women-crop-tops,2176
https://www.jabong.com/women-dresses-jumpsuits,19328
https://www.jabong.com/men-sunglasses,3509
https://www.jabong.com/men-nike,1242
https://www.jabong.com/men-raymond,1272
https://www.jabong.com/men-boxers,432
https://www.jabong.com/fc-barcelona,568
https://www.jabong.com/men-basketball-shoes,146
https://www.jabong.com/converse,220
https://www.jabong.com/shoes-vans,416
https://www.jabong.com/men-ethnic-jackets,332
https://www.jabong.com/women-tracksuits,53
https://www.jabong.com/woodland-online-sale,433
https://www.jabong.com/winter-wear-store,2
https://www.jabong.com/men-round-neck-tshirts,20842
https://www.jabong.com/men-lee_cooper,1048
https://www.jabong.com/men-sneakers,5754
https://www.jabong.com/nike-online-sale,1968
https://www.jabong.com/men-red_chief,390
https://www.jabong.com/men-reebok,1173
https://www.jabong.com/women-lingerie-nightwear,13786
https://www.jabong.com/global_desi,904
https://www.jabong.com/men-nike,1242
https://www.jabong.com/men-daniel-klein,348
https://www.jabong.com/men-sandals,2736
https://www.jabong.com/men-bags,975
https://www.jabong.com/men-fort-collins,169
https://www.jabong.com/men-hooded-t-shirts,254
https://www.jabong.com/women-thermals,157
https://www.jabong.com/women-levis,180
https://www.jabong.com/discount-more-than-79,6
https://www.jabong.com/online-sale,0
https://www.jabong.com/kids-boys-winter-wear,3156
https://www.jabong.com/men-adidas,2407
https://www.jabong.com/shoes-skechers,219
https://www.jabong.com/women-palazzo,90
https://www.jabong.com/men-formal-shirts,3722
https://www.jabong.com/men-henley-tshirts,2331
https://www.jabong.com/men-color-red,175
https://www.jabong.com/women-sports-shoes,1419
https://www.jabong.com/reebok,1729
https://www.jabong.com/women-color-black,143
https://www.jabong.com/men-online-sale,176131
https://www.jabong.com/women-loafers-moccasins,463
https://www.jabong.com/women-color-pink,72
https://www.jabong.com/women-adidas,890
https://www.jabong.com/women-melange-by-lifestyle,1665
https://www.jabong.com/women-anarkali,1504
https://www.jabong.com/women-skirts,3015
https://www.jabong.com/hrxbyhrithikroshan,0
https://www.jabong.com/women-summer-jackets,1776
https://www.jabong.com/kids-girls-apparel,47458
https://www.jabong.com/men-lee_cooper,1048
https://www.jabong.com/kids-kids-lehenga-cholis,205
https://www.jabong.com/shoes-woodland,208
https://www.jabong.com/men-nike,1242
https://www.jabong.com/men-sparx,352
https://www.jabong.com/men-lee_cooper,1048
https://www.jabong.com/men-raymond,1272
https://www.jabong.com/tshirt-store-online,53598
https://www.jabong.com/men-nike,1242
https://www.jabong.com/women-mochi,467
https://www.jabong.com/men-red_chief,390
https://www.jabong.com/men-roadster,5106
https://www.jabong.com/women-color-golden,3
https://www.jabong.com/women-jeggings,826
https://www.jabong.com/men-hrxbyhrithikroshan,176131
https://www.jabong.com/men-blackberrys,2886
https://www.jabong.com/provogue,188
https://www.jabong.com/men-shoes,22963
https://www.jabong.com/valentines-day-gifts,5
https://www.jabong.com/birthday-gifts,83
https://www.jabong.com/men-levis,1038
https://www.jabong.com/men-sweatshirts-hoodies,4027
https://www.jabong.com/women-biba,1381
https://www.jabong.com/men-briefs,948
https://www.jabong.com/women-woodland,48
https://www.jabong.com/international-brands,55
https://www.jabong.com/men-red_tape,696
https://www.jabong.com/shoes-bugatti,103
https://www.jabong.com/men-new-products,1
https://www.jabong.com/women-new-products,243748
https://www.jabong.com/shoes-nike,800
https://www.jabong.com/men-cardigans,222
https://www.jabong.com/men-v-neck-tshirts,1990
https://www.jabong.com/men-color-white,318
https://www.jabong.com/shoes-clarks,942
https://www.jabong.com/bags,1073
https://www.jabong.com/fila,963
https://www.jabong.com/women-puma,2407
https://www.jabong.com/women-tops-tees-shirts,49677
https://www.jabong.com/women-skechers,112
https://www.jabong.com/women-daniel-klein,102
https://www.jabong.com/kids-girls-winter-wear,3156
https://www.jabong.com/men-jockey,667
https://www.jabong.com/men-high-neck-sweaters,353
https://www.jabong.com/women-plus-sizes,484
https://www.jabong.com/men-new-products,1
https://www.jabong.com/women-palazzo-kurta-set,3313
https://www.jabong.com/men-united-colors-of-benetton,3034
https://www.jabong.com/women-bras,5498
https://www.jabong.com/customer-self-help-desk,16
https://www.jabong.com/women-trackpants,883
https://www.jabong.com/men-sparx,352
https://www.jabong.com/men-roadster,5106
https://www.jabong.com/women-new-products,243748
https://www.jabong.com/women-color-pink,72
https://www.jabong.com/women-color-golden,3
https://www.jabong.com/men-handkerchiefs,69
https://www.jabong.com/accessories-ray-ban,48
https://www.jabong.com/men-roadster,5106
https://www.jabong.com/women-madame,1521
https://www.jabong.com/women-color-peach,failed
https://www.jabong.com/women-hidesign,101
https://www.jabong.com/men-blackberrys,2886
https://www.jabong.com/men-lee_cooper,1048
https://www.jabong.com/women-ritu-kumar,652
https://www.jabong.com/men-us_polo_assn,1993
https://www.jabong.com/kids-crocs,199
https://www.jabong.com/men-color-red,175
https://www.jabong.com/sis-big-brand-sale-min51,0
https://www.jabong.com/men-pluss,163
